Date,bsi
2012-07-04,1284.0
2012-07-05,1293.0
2012-07-06,1296.0
2012-07-07,1297.5
2012-07-08,1297.5
2012-07-09,1299.0
2012-07-10,1300.0
2012-07-11,1299.0
2012-07-12,1294.0
2012-07-13,1287.0
2012-07-14,1282.0
2012-07-15,1282.0
2012-07-16,1277.0
2012-07-17,1261.0
2012-07-18,1239.0
2012-07-19,1212.0
2012-07-20,1192.0
2012-07-21,1182.5
2012-07-22,1182.5
2012-07-23,1173.0
2012-07-24,1156.0
2012-07-25,1133.0
2012-07-26,1099.0
2012-07-27,1069.0
2012-07-28,1058.0
2012-07-29,1058.0
2012-07-30,1047.0
2012-07-31,1032.0
2012-08-01,1023.0
2012-08-02,1010.0
2012-08-03,995.0
2012-08-04,988.5
2012-08-05,988.5
2012-08-06,982.0
2012-08-07,966.0
2012-08-08,946.0
2012-08-09,906.0
2012-08-10,886.0
2012-08-11,881.5
2012-08-12,881.5
2012-08-13,877.0
2012-08-14,865.0
2012-08-15,856.0
2012-08-16,847.0
2012-08-17,841.0
2012-08-18,839.5
2012-08-19,839.5
2012-08-20,838.0
2012-08-21,833.0
2012-08-22,833.0
2012-08-23,845.0
2012-08-24,853.0
2012-08-25,855.0
2012-08-26,855.0
2012-08-27,855.0
2012-08-28,857.0
2012-08-29,858.0
2012-08-30,855.0
2012-08-31,857.0
2012-09-01,854.5
2012-09-02,854.5
2012-09-03,852.0
2012-09-04,849.0
2012-09-05,845.0
2012-09-06,837.0
2012-09-07,832.0
2012-09-08,829.5
2012-09-09,829.5
2012-09-10,827.0
2012-09-11,821.0
2012-09-12,825.0
2012-09-13,828.0
2012-09-14,834.0
2012-09-15,836.5
2012-09-16,836.5
2012-09-17,839.0
2012-09-18,843.0
2012-09-19,845.0
2012-09-20,850.0
2012-09-21,847.0
2012-09-22,847.0
2012-09-23,847.0
2012-09-24,847.0
2012-09-25,847.0
2012-09-26,844.0
2012-09-27,836.0
2012-09-28,830.0
2012-09-29,827.5
2012-09-30,827.5
2012-10-01,825.0
2012-10-02,818.0
2012-10-03,810.0
2012-10-04,802.0
2012-10-05,795.0
2012-10-06,793.0
2012-10-07,793.0
2012-10-08,791.0
2012-10-09,789.0
2012-10-10,787.0
2012-10-11,783.0
2012-10-12,776.0
2012-10-13,772.0
2012-10-14,772.0
2012-10-15,768.0
2012-10-16,754.0
2012-10-17,746.0
2012-10-18,740.0
2012-10-19,732.0
2012-10-20,726.5
2012-10-21,726.5
2012-10-22,721.0
2012-10-23,716.0
2012-10-24,712.0
2012-10-25,706.0
2012-10-26,699.0
2012-10-27,696.0
2012-10-28,696.0
2012-10-29,693.0
2012-10-30,689.0
2012-10-31,678.0
2012-11-01,671.0
2012-11-02,669.0
2012-11-03,665.5
2012-11-04,665.5
2012-11-05,662.0
2012-11-06,654.0
2012-11-07,647.0
2012-11-08,644.0
2012-11-09,649.0
2012-11-10,650.5
2012-11-11,650.5
2012-11-12,652.0
2012-11-13,653.0
2012-11-14,655.0
2012-11-15,664.0
2012-11-16,674.0
2012-11-17,680.5
2012-11-18,680.5
2012-11-19,687.0
2012-11-20,695.0
2012-11-21,706.0
2012-11-22,716.0
2012-11-23,724.0
2012-11-24,728.0
2012-11-25,728.0
2012-11-26,732.0
2012-11-27,742.0
2012-11-28,751.0
2012-11-29,760.0
2012-11-30,766.0
2012-12-01,769.0
2012-12-02,769.0
2012-12-03,772.0
2012-12-04,771.0
2012-12-05,768.0
2012-12-06,765.0
2012-12-07,760.0
2012-12-08,755.5
2012-12-09,755.5
2012-12-10,751.0
2012-12-11,751.0
2012-12-12,748.0
2012-12-13,746.0
2012-12-14,745.0
2012-12-15,743.5
2012-12-16,743.5
2012-12-17,742.0
2012-12-18,738.0
2012-12-19,738.0
2012-12-20,735.0
2012-12-21,732.0
2012-12-22,734.5
2012-12-23,734.5
2012-12-24,734.5
2012-12-25,734.5
2012-12-26,734.5
2012-12-27,734.5
2012-12-28,734.5
2012-12-29,734.5
2012-12-30,734.5
2012-12-31,734.5
2013-01-01,734.5
2013-01-02,737.0
2013-01-03,739.0
2013-01-04,739.0
2013-01-05,739.0
2013-01-06,739.0
2013-01-07,739.0
2013-01-08,740.0
2013-01-09,741.0
2013-01-10,743.0
2013-01-11,745.0
2013-01-12,744.0
2013-01-13,744.0
2013-01-14,743.0
2013-01-15,740.0
2013-01-16,738.0
2013-01-17,735.0
2013-01-18,730.0
2013-01-19,729.0
2013-01-20,729.0
2013-01-21,728.0
2013-01-22,721.0
2013-01-23,713.0
2013-01-24,712.0
2013-01-25,711.0
2013-01-26,710.5
2013-01-27,710.5
2013-01-28,710.0
2013-01-29,695.0
2013-01-30,688.0
2013-01-31,684.0
2013-02-01,682.0
2013-02-02,681.5
2013-02-03,681.5
2013-02-04,681.0
2013-02-05,677.0
2013-02-06,674.0
2013-02-07,671.0
2013-02-08,669.0
2013-02-09,667.5
2013-02-10,667.5
2013-02-11,666.0
2013-02-12,668.0
2013-02-13,664.0
2013-02-14,667.0
2013-02-15,672.0
2013-02-16,675.5
2013-02-17,675.5
2013-02-18,679.0
2013-02-19,687.0
2013-02-20,695.0
2013-02-21,705.0
2013-02-22,717.0
2013-02-23,720.5
2013-02-24,720.5
2013-02-25,724.0
2013-02-26,734.0
2013-02-27,745.0
2013-02-28,764.0
2013-03-01,781.0
2013-03-02,791.0
2013-03-03,791.0
2013-03-04,801.0
2013-03-05,818.0
2013-03-06,837.0
2013-03-07,852.0
2013-03-08,864.0
2013-03-09,870.0
2013-03-10,870.0
2013-03-11,876.0
2013-03-12,889.0
2013-03-13,903.0
2013-03-14,913.0
2013-03-15,925.0
2013-03-16,931.0
2013-03-17,931.0
2013-03-18,937.0
2013-03-19,950.0
2013-03-20,959.0
2013-03-21,968.0
2013-03-22,978.0
2013-03-23,979.5
2013-03-24,979.5
2013-03-25,981.0
2013-03-26,977.0
2013-03-27,965.0
2013-03-28,944.0
2013-03-29,938.5
2013-03-30,938.5
2013-03-31,938.5
2013-04-01,938.5
2013-04-02,933.0
2013-04-03,924.0
2013-04-04,915.0
2013-04-05,912.0
2013-04-06,909.5
2013-04-07,909.5
2013-04-08,907.0
2013-04-09,902.0
2013-04-10,900.0
2013-04-11,901.0
2013-04-12,902.0
2013-04-13,902.0
2013-04-14,902.0
2013-04-15,902.0
2013-04-16,900.0
2013-04-17,899.0
2013-04-18,898.0
2013-04-19,902.0
2013-04-20,902.0
2013-04-21,902.0
2013-04-22,902.0
2013-04-23,903.0
2013-04-24,905.0
2013-04-25,904.0
2013-04-26,900.0
2013-04-27,897.5
2013-04-28,897.5
