Date,brent_oil
2012-07-04,99.77
2012-07-05,100.7
2012-07-06,98.19
2012-07-07,99.255
2012-07-08,99.255
2012-07-09,100.32
2012-07-10,97.97
2012-07-11,100.23
2012-07-12,101.07
2012-07-13,102.4
2012-07-14,102.975
2012-07-15,102.975
2012-07-16,103.55
2012-07-17,104.0
2012-07-18,105.16
2012-07-19,107.8
2012-07-20,106.83
2012-07-21,105.045
2012-07-22,105.045
2012-07-23,103.26
2012-07-24,103.42
2012-07-25,104.38
2012-07-26,105.26
2012-07-27,106.47
2012-07-28,106.33500000000001
2012-07-29,106.33500000000001
2012-07-30,106.2
2012-07-31,104.92
2012-08-01,105.96
2012-08-02,105.9
2012-08-03,108.94
2012-08-04,109.245
2012-08-05,109.245
2012-08-06,109.55
2012-08-07,112.0
2012-08-08,112.14
2012-08-09,113.22
2012-08-10,112.95
2012-08-11,113.275
2012-08-12,113.275
2012-08-13,113.6
2012-08-14,114.03
2012-08-15,116.25
2012-08-16,116.9
2012-08-17,113.71
2012-08-18,113.705
2012-08-19,113.705
2012-08-20,113.7
2012-08-21,114.64
2012-08-22,114.91
2012-08-23,115.01
2012-08-24,113.59
2012-08-25,112.92500000000001
2012-08-26,112.92500000000001
2012-08-27,112.26
2012-08-28,112.58
2012-08-29,112.54
2012-08-30,112.65
2012-08-31,114.57
2012-09-01,115.175
2012-09-02,115.175
2012-09-03,115.78
2012-09-04,114.18
2012-09-05,113.09
2012-09-06,113.49
2012-09-07,114.25
2012-09-08,114.53
2012-09-09,114.53
2012-09-10,114.81
2012-09-11,115.4
2012-09-12,115.96
2012-09-13,116.9
2012-09-14,116.66
2012-09-15,115.225
2012-09-16,115.225
2012-09-17,113.79
2012-09-18,112.03
2012-09-19,108.19
2012-09-20,110.03
2012-09-21,111.42
2012-09-22,110.61500000000001
2012-09-23,110.61500000000001
2012-09-24,109.81
2012-09-25,110.45
2012-09-26,110.04
2012-09-27,112.01
2012-09-28,112.39
2012-09-29,112.28999999999999
2012-09-30,112.28999999999999
2012-10-01,112.19
2012-10-02,111.57
2012-10-03,108.17
2012-10-04,112.58
2012-10-05,112.02
2012-10-06,111.91999999999999
2012-10-07,111.91999999999999
2012-10-08,111.82
2012-10-09,114.5
2012-10-10,114.33
2012-10-11,115.71
2012-10-12,114.62
2012-10-13,115.21000000000001
2012-10-14,115.21000000000001
2012-10-15,115.8
2012-10-16,115.07
2012-10-17,113.22
2012-10-18,112.42
2012-10-19,110.14
2012-10-20,109.78999999999999
2012-10-21,109.78999999999999
2012-10-22,109.44
2012-10-23,108.25
2012-10-24,107.85
2012-10-25,108.49
2012-10-26,109.55
2012-10-27,109.495
2012-10-28,109.495
2012-10-29,109.44
2012-10-30,109.08
2012-10-31,108.7
2012-11-01,108.17
2012-11-02,105.68
2012-11-03,106.70500000000001
2012-11-04,106.70500000000001
2012-11-05,107.73
2012-11-06,111.07
2012-11-07,106.82
2012-11-08,107.25
2012-11-09,109.4
2012-11-10,109.235
2012-11-11,109.235
2012-11-12,109.07
2012-11-13,108.26
2012-11-14,109.61
2012-11-15,110.98
2012-11-16,108.95
2012-11-17,110.325
2012-11-18,110.325
2012-11-19,111.7
2012-11-20,109.83
2012-11-21,110.86
2012-11-22,110.55
2012-11-23,111.38
2012-11-24,111.15
2012-11-25,111.15
2012-11-26,110.92
2012-11-27,109.87
2012-11-28,109.51
2012-11-29,110.76
2012-11-30,111.23
2012-12-01,111.075
2012-12-02,111.075
2012-12-03,110.92
2012-12-04,109.84
2012-12-05,108.81
2012-12-06,107.03
2012-12-07,107.02
2012-12-08,107.175
2012-12-09,107.175
2012-12-10,107.33
2012-12-11,108.01
2012-12-12,109.5
2012-12-13,107.91
2012-12-14,109.15
2012-12-15,108.39500000000001
2012-12-16,108.39500000000001
2012-12-17,107.64
2012-12-18,108.84
2012-12-19,110.36
2012-12-20,110.2
2012-12-21,108.97
2012-12-22,108.88499999999999
2012-12-23,108.88499999999999
2012-12-24,108.8
2012-12-25,109.935
2012-12-26,111.07
2012-12-27,110.8
2012-12-28,110.62
2012-12-29,110.86500000000001
2012-12-30,110.86500000000001
2012-12-31,111.11
2013-01-01,111.78999999999999
2013-01-02,112.47
2013-01-03,112.14
2013-01-04,111.31
2013-01-05,111.355
2013-01-06,111.355
2013-01-07,111.4
2013-01-08,111.94
2013-01-09,111.76
2013-01-10,111.89
2013-01-11,110.64
2013-01-12,111.25999999999999
2013-01-13,111.25999999999999
2013-01-14,111.88
2013-01-15,110.3
2013-01-16,110.61
2013-01-17,111.1
2013-01-18,111.89
2013-01-19,111.8
2013-01-20,111.8
2013-01-21,111.71
2013-01-22,112.42
2013-01-23,112.8
2013-01-24,113.28
2013-01-25,113.28
2013-01-26,113.38
2013-01-27,113.38
2013-01-28,113.48
2013-01-29,114.36
2013-01-30,114.9
2013-01-31,115.55
2013-02-01,116.76
2013-02-02,116.18
2013-02-03,116.18
2013-02-04,115.6
2013-02-05,116.52
2013-02-06,116.73
2013-02-07,117.24
2013-02-08,118.9
2013-02-09,118.515
2013-02-10,118.515
2013-02-11,118.13
2013-02-12,118.66
2013-02-13,118.72
2013-02-14,118.0
2013-02-15,117.66
2013-02-16,117.52
2013-02-17,117.52
2013-02-18,117.38
2013-02-19,117.52
2013-02-20,115.6
2013-02-21,113.53
2013-02-22,114.1
2013-02-23,114.27
2013-02-24,114.27
2013-02-25,114.44
2013-02-26,112.71
2013-02-27,111.87
2013-02-28,111.38
2013-03-01,110.4
2013-03-02,110.245
2013-03-03,110.245
2013-03-04,110.09
2013-03-05,111.61
2013-03-06,111.06
2013-03-07,111.15
2013-03-08,110.85
2013-03-09,110.535
2013-03-10,110.535
2013-03-11,110.22
2013-03-12,109.65
2013-03-13,108.52
2013-03-14,109.42
2013-03-15,109.82
2013-03-16,109.66499999999999
