Date,usd_jpy
2012-07-04,79.84
2012-07-05,79.89
2012-07-06,79.67
2012-07-07,79.625
2012-07-08,79.625
2012-07-09,79.58
2012-07-10,79.44
2012-07-11,79.75
2012-07-12,79.3
2012-07-13,79.22
2012-07-14,79.03999999999999
2012-07-15,79.03999999999999
2012-07-16,78.86
2012-07-17,79.07
2012-07-18,78.81
2012-07-19,78.59
2012-07-20,78.49
2012-07-21,78.44
2012-07-22,78.44
2012-07-23,78.39
2012-07-24,78.19
2012-07-25,78.17
2012-07-26,78.22
2012-07-27,78.42
2012-07-28,78.30000000000001
2012-07-29,78.30000000000001
2012-07-30,78.18
2012-07-31,78.13
2012-08-01,78.44
2012-08-02,78.23
2012-08-03,78.48
2012-08-04,78.36500000000001
2012-08-05,78.36500000000001
2012-08-06,78.25
2012-08-07,78.61
2012-08-08,78.42
2012-08-09,78.56
2012-08-10,78.28
2012-08-11,78.3
2012-08-12,78.3
2012-08-13,78.32
2012-08-14,78.73
2012-08-15,79.0
2012-08-16,79.34
2012-08-17,79.56
2012-08-18,79.49000000000001
2012-08-19,79.49000000000001
2012-08-20,79.42
2012-08-21,79.28
2012-08-22,78.58
2012-08-23,78.48
2012-08-24,78.67
2012-08-25,78.71000000000001
2012-08-26,78.71000000000001
2012-08-27,78.75
2012-08-28,78.51
2012-08-29,78.7
2012-08-30,78.62
2012-08-31,78.39
2012-09-01,78.325
2012-09-02,78.325
2012-09-03,78.26
2012-09-04,78.42
2012-09-05,78.39
2012-09-06,78.86
2012-09-07,78.27
2012-09-08,78.275
2012-09-09,78.275
2012-09-10,78.28
2012-09-11,77.77
2012-09-12,77.85
2012-09-13,77.49
2012-09-14,78.39
2012-09-15,78.545
2012-09-16,78.545
2012-09-17,78.7
2012-09-18,78.82
2012-09-19,78.38
2012-09-20,78.25
2012-09-21,78.17
2012-09-22,78.015
2012-09-23,78.015
2012-09-24,77.86
2012-09-25,77.8
2012-09-26,77.75
2012-09-27,77.61
2012-09-28,77.92
2012-09-29,77.96000000000001
2012-09-30,77.96000000000001
2012-10-01,78.0
2012-10-02,78.16
2012-10-03,78.5
2012-10-04,78.48
2012-10-05,78.67
2012-10-06,78.5
2012-10-07,78.5
2012-10-08,78.33
2012-10-09,78.25
2012-10-10,78.19
2012-10-11,78.33
2012-10-12,78.44
2012-10-13,78.53999999999999
2012-10-14,78.53999999999999
2012-10-15,78.64
2012-10-16,78.89
2012-10-17,78.94
2012-10-18,79.28
2012-10-19,79.32
2012-10-20,79.63
2012-10-21,79.63
2012-10-22,79.94
2012-10-23,79.86
2012-10-24,79.81
2012-10-25,80.3
2012-10-26,79.65
2012-10-27,79.73
2012-10-28,79.73
2012-10-29,79.81
2012-10-30,79.64
2012-10-31,79.77
2012-11-01,80.14
2012-11-02,80.47
2012-11-03,80.38
2012-11-04,80.38
2012-11-05,80.29
2012-11-06,80.36
2012-11-07,80.0
2012-11-08,79.47
2012-11-09,79.5
2012-11-10,79.5
2012-11-11,79.5
2012-11-12,79.5
2012-11-13,79.39
2012-11-14,80.25
2012-11-15,81.16
